ability	способноста	Found close match: ['способността', 'способност', 'способности']	['кадърност_ло́вкост', 'способността', 'умение', 'способности', 'вещина́', 'способност', 'правоспособност', 'пригодност']
accomplished	постигал	Incorrect	['изпълнена', 'съвършен']
angry	ядосва	Found close match: ['ядосан', 'ядосана', 'ядо́сан']	['ядосана', 'mad_season', 'бесен', 'яростен', 'гневен', 'angriness', 'kay_starr', 'гняв', 'ядосан', 'ядо́сан', 'press_to_play', 'разгневен', 'сърдит', 'разгне́вен', 'сърди́т']
apartment	апартамента	Found close match: ['апартамент', 'апартаменти', 'апартаме́нт']	['апартаментът', 'блок', 'имение_блок', 'градина_апартамент', 'апартамент', 'апартаментен_комплекс', 'апартаменти', 'apartment', 'жилищни_сгради', 'апартаме́нт']
applause	аплодисменти	Match	['страна_ръкопляскането', 'аплодисменти', 'applause', 'handclaps', 'пляскане']
argument	аргумент	Match	['наклонена_аргумент', 'линия', 'препирня', 'глагол_аргумент', 'disceptation', 'линия_на_разсъждение', 'преговори_—_преговаряне', 'аргумент', 'противоречия', 'дискусия', 'аргументи', 'обсъдят', 'логически_аргумент', 'политически_дебат', 'параметър', 'дебат', 'дебати', 'диспут', 'аргументация_теория', 'теория_на_аргументацията', 'оспорване', 'спор', 'литературен_аргумент', 'дискусионен_клуб', 'аргумента', 'аргументация']
art	изкуство,	Found close match: ['изкуство', 'изкуството', 'изкуства']	['фино_изкуство', 'beauxarts_стил', 'членуване', 'изобразително_изкуство', 'определителен_член', 'изкуството', 'изкуства', 'dни', 'майсторство', 'художественото_творчество', 'графичен', 'nontextual_въпрос', 'графики', 'определен_член', 'художествено_изразяване', 'art', 'неопределеност', 'изящното_изкуство', 'beaux_arts', 'член', 'изкуствовед', 'графика', 'арт', 'beauxarts_архитектура', 'арт_дизайн', 'определеност', 'статия', 'неопределителен_член', 'глоба_художник', 'изящно_изкуство', 'изящни_изкуства', 'изкуство', 'beaux_arts_архитектура', 'произведения_на_изкуството', 'неопределителен_член_в_българския_език', 'неопределен_член_в_българския_език', 'художествено_произведение', 'категория_определеностнеопределеност', 'неопределен_член', 'свързани_с_агутипептид', 'мъжество']
attitude	неразбиране	Found close match: ['разпореждане']	['нагласа', 'човешко_поведение', 'attitude', 'действия', 'malpresentation', 'изправен', 'пространствена_ориентация', 'наклонност', 'поведенчески', 'социално_поведение', 'склонност', 'лошо_поведение', 'разпореждане', 'отношението', 'държа́ние', 'reload', 'по́за', 'тенденция', 'положение', 'диспозиционна_атрибуция', 'предразположение', 'отношение', 'становище_отноше́ние', 'поведение', 'умствена_нагласа', 'диспозиция', 'поведе́ние', 'позата', 'обно́ски', 'сто́йка', 'ориентация', 'държание']
bag	кърпичката	Incorrect	['чаша_чай', 'ви́ме', 'multiset', 'сак', 'чанта', 'чувал', 'чанти', 'ку́фар', 'multisets', 'пътническа_чанта', 'стара_чанта', 'чантата', 'торба', 'хартиена_торбичка', 'плик', 'дамска_чанта', 'раница', 'ръчна_чанта', 'куфар', 'крада́', 'торбичка', 'виме', 'вимето']
ball	топката	Match	['семенници', 'кълбо', 'куршум', 'глоб', 'буца', '2сфера', 'топка_за_тенис', 'плужек', 'кълбо́', 'мъди', 'люсил_бол', 'ташак', 'футбол', 'гюле', 'полусферична', 'тестис', 'бал', 'ballock', 'глупости', 'топки', 'teste', 'топка', 'футболна_топка', 'тестисите', 'топката', 'то́пка', 'семенник', 'бол', 'уилфрид_бол', 'ball', 'тестиси', 'сфера', 'топчесто', 'стачка_зона', 'сферична', 'lucille_ball', 'слабини', 'топки_за_тенис', 'сфе́ра', 'john_ball']
bar	бар	Match	['адвокатска_колегия', 'преграда', 'бариера', 'sandbars', 'barline', 'такт', 'bar', 'механи', 'храна_кръчма', 'браунинг_автоматична_пушка', 'австробаварски_езици', 'презимена', 'бащино_име', 'таверни', 'адвокатура', 'предупреждение', 'farnesoid_х_рецептор', 'country_inn', 'цвят_на_чертата', 'кръчма', 'пръчка', 'пясък_банка', 'бар_кръ̀чма', 'плитчина', 'пропъждам', 'бащино', 'ивица', 'баварски', 'mbar', 'механа́', 'прогонвам', 'правната_общност', 'пропъдя', 'бета2_адренергичните_рецептори', 'юридическата_професия', 'греда', 'предотвратяване', 'барът', 'пи́вница', 'кръчмата_знак', 'изключвам', 'foobar', 'advocatus', 'метален_прът', 'препречвам', 'долнопробна_кръчма', 'докоснете_къща', 'бара', 'кръчми', 'отлъчвам_от_обществото', 'механа', 'taphouse', 'таверна', 'hostelry', 'адвокатска_асоциация', 'вратар_салон', 'бащиното', 'patrynomic', 'изгоня', 'предлага_храна', 'public_house', 'плитчини', 'ginmill', 'преграждам', 'barroom', 'изгонвам', 'бар', 'прогоня', 'австробаварски_диалекти', 'бета2_рецептора', 'общо_помещение_в_кръчма', 'мярка', 'foo', 'милибара']
bear	мечка	Match	['раждам', 'стоят', 'понесе', 'издържам', 'bear', 'пла́щам', 'мече', 'мечки', 'webelos', 'ursidae', 'понасям', 'изтърпя', 'издържа', 'трая', 'заемам', 'ту95', 'ме́чка', 'mike_brown', 'мечо', 'мечок', 'общността_мечка', 'съдържа', 'мечо́к', 'търпя', 'платя́', 'толерирам', 'беър', 'побирам', 'мечешки', 'мечка', 'нося', 'понеса', 'съдържам']
beat	побеждавайки	Found close match: ['побеждавам', 'победи']	['такт', 'туптя', 'пулсирам', 'beatnik', 'ритми', 'честота_на_биене', 'надминавам', 'отчаян_интелигент', 'сразявам', 'ритъм', 'сразя', 'м', 'разбърквам', 'надмина', 'версификация', 'музикален_ритъм', 'размеся', 'ударя', 'победя', 'разбивам', 'siteswap', 'количествен_стих', 'надвия', 'нестандартен', 'ритмична_единица', 'пулс', 'метра', 'удрям', 'превъзхождам', 'размесвам', 'битник', 'побеждавам', 'разбъркам', 'бия', 'победи', 'поетичен_метра', 'надвивам', 'биене', 'beat']
bed	леглото	Match	['легна_си', 'склонност_към_преяждане_разстройство', 'рекичка_легло', 'bed', 'лягам_си', 'легла_самолет', 'еба́', 'речно_корито', 'болнично_легло', 'легло', 'леглото', 'залеж', 'cистемно_преяждане', 'одър', 'чу́кам', 'поток', 'креват', 'шев', 'корито', 'дъно', 'чукам', 'речно_легло', 'ши́бам', 'леха']
beer	бира	Match	['beer', 'пѝво', 'пиво', 'бѝра', 'пивоварно_производство', 'camra', 'пивоварната_промишленост', 'бирата', 'кампания_за_истински_ейл', 'бира', 'ейл']
big	„големият	Found close match: ['големи']	['bjarke_ingels_group', 'баланс', 'едър', 'тялото', 'голямо', 'big', 'голям', 'голяма', 'stypsis', 'големи', 'minerality', 'биг', 'плодове', 'възрастен', 'norm_nixon', 'пълнолетен']
bird	птици	Match	['yardbird_паркър', 'освирквам', 'mikuni_shimokawa', 'charlier_parker', 'птица', 'момиче', 'нощуване', 'aves', 'avafauna', 'птици', 'перце', 'марихуана', 'чарли_паркър', 'charlie_parker', 'маце', 'бърд', 'bird', 'птиче', 'птичка', 'чарлз_кристофър_паркър', 'фу́ста', 'razzing', 'бронкс_развесели', 'бадминтон', 'пръст', 'мацка', 'среден_пръст', 'бърд_паркър']
blood	кръвта	Match	['кислород_кръв', 'развратник', 'blood', 'генетичното_наследство', 'вино_бордо', 'бордо', 'кръвния_поток', 'кръв_линия', 'кръвта', 'потомство', 'кръв', 'наследственост', 'женкар', 'vs', 'човешка_кръв', 'persistence_of_time', 'хематологични', 'биологичното_наследство', 'collective_soul', 'потекло', 'произход', 'the_black_parade', 'кръвна_линия', 'бордо_вино', 'род', 'getting_away_with_murder', 'наследствеността']
