ability	võimet	Found close match: ['võime']	['sobivus', 'sobivustesti', 'võime', 'oskus']
accomplished	edukas	Not found	[]
angry	pahane	Found close match: ['vihane']	['mad_season', 'viha', 'angriness', 'kay_starr', 'vihane', 'press_to_play']
apartment	kortermaja	Found close match: ['korter', 'korteri', 'korteris']	['korteri_kompleks', 'aed_korteri', 'korterelamud', 'mõis_plokk', 'korteri', 'apartment', 'korter', 'korteris', 'korterelamu']
applause	naerdes	Incorrect	['aplaus', 'poolt_plaksutamine', 'aplausi', 'applause', 'handclaps', 'plaksutamine']
argument	vastuväidete	Incorrect	['väitlemine', 'väites', 'disceptation', 'poliitiline_arutelu', 'arutelu', 'vastuoluline', 'vastuolud', 'avaldus', 'funktsiooni_argument', 'väitlusselts', 'argumentatsiooni_teooria', 'parameeter', 'loogiline_argument', 'arutada', 'kaldus_argument', 'argumente', 'kirjandus_argument', 'vaidlus', 'arutelu_meeskond', 'muusikaline_argument', 'argumendi', 'dispuut', 'mõttekäigus', 'arutame', 'argument', 'kõne_ja_arutelu', 'tegusõna_argument', 'väitlus', 'arutlus', 'poleemikat', 'vaidlustamise', 'argumendid']
art	kunstigaleriis	Found close match: ['kunstilisus', 'kunsti']	['kunstnik', 'artikkel', 'kunsti', 'kunstilisus', 'kaunite_kunstide', 'trahvi_kunstnik', 'beauxarts_stiilis', 'kunst', 'trahviart', 'osavus', 'art', 'kunstilooming', 'beauxarts_arhitektuur', 'artwork', 'agouti_seotud_peptiidi', 'kunst_disain', 'kaunid_kunstid_arhitektuur', 'kaunid_kunstid', 'kujutavad_kunstid', 'nontextual_küsimus', 'taie', 'kunstilise_väljenduse', 'pilt', 'dni', 'graafika']
attitude	hoiak	Match	['paigutus', 'käitumine', 'euleri_nurgad', 'vaimse_hoiaku', 'attitude', 'kalduvus', 'malpresentation', 'korrarikkumiste', 'sotsiaalset_käitumist', 'tendents', 'asend', 'suhtumine', 'orientatsiooni', 'ruumiline_orientatsioon', 'toimingud', 'lõvi', 'käitumisviis', 'poos', 'reload', 'hoiak']
bag	laualt	Incorrect	['varastama', 'reisikott', 'kilekott', 'kott', 'vana_kott', 'udar', 'paberkott', 'koti', 'bagful', 'tass_teed', 'vedaja_kott', 'multiset', 'kohver', 'käekotid', 'käekott', 'multisets', 'plastikust_ostukott', 'udara']
ball	palli	Match	['tennisepalli', 'suletud_palli', 'musketi_kuul', 'pall', 'streigi_tsoon', '2sfääri', 'munandid', 'sfääriline', 'testise', 'lahtine_kera', 'jama', 'kera', 'ballock', 'orhis', 'kerapind', 'munandite', 'limukas', 'john_ball', 'kuuli', 'jalgpall', 'kerajas', 'testis', 'kinnine_kera', 'palli', 'tennisepallid', 'teste', 'täppe', 'sfäär', 'poolkerakujuline', 'ball', 'munand', 'lucille_ball', 'universum', 'jalgpalli']
bar	bar	Match	['pubi_lobi', 'beeta2adrenoretseptorite', 'sandbars', 'õllepood', 'õlletehas_kraani', 'isanime', 'ennetamine', 'barline', 'pubi', 'bar', 'beeta2_retseptorite', 'pubi_toitu', 'leetseljakut', 'õigusliku_kogukond', 'vööt', 'pubi_märk', 'bari_vald', 'isanimi', 'tavern', 'jura', 'patronüüm', 'country_inn', 'ennetamiseks', 'browning_automaatne_vintpüss', 'õllekallamise', 'kriips', 'advokatuuri', 'mbar', 'farnesoid_x_retseptori', 'baari', 'baar', 'advokatuur', 'avalik_maja', 'foobar', 'advocatus', 'koputage_maja', 'kievari', 'pubid', 'taphouse', 'perekonnanimedest', 'baarid', 'ajurand', 'juristide', 'kõrts', 'patrynomic', 'trahter', 'public_house', 'ginmill', 'kalaparve', 'salongi_pidaja', 'takt', 'barroom', 'meetme', 'madalikud', 'foo', 'gin_mill', 'beeta2adrenergiliste_retseptorite']
