ability	{'capacitate', 'capacitatea', 'aptitudine', 'destoinicie', 'iscusință', 'abilitate', 'potențial', 'pricepere', 'aptitudini', 'putință', 'iscusință_abilitate'}
accomplished	{'împlinit', 'înfăptuit', 'îndeplinit', 'stabilit', 'complet', 'realizat', 'desăvârșit'}
all	{'totalmente', 'toate', 'închiderea_universal', 'absolut', 'universal_cuantificator', 'cuantificatorul_universal', 'complet', 'cuantificare_universală', 'cuantificator_universal', 'închiderea_universală', 'completamente', 'leucemie_limfoblastică_acută', 'cu_totul', 'integral', 'acută_limfocitară_leucemie', 'în_întregime', 'total', 'tot', 'all'}
and	{'poartălogică', 'logica_poarta', 'coroborat_logică', 'poartă_logică', 'porți_logice', 'logica_discret', 'and', 'poarta_logica', 'armed_and_dangerous'}
angry	{'press_to_play', 'inflamat', 'agitat', 'mânios', 'tumefiat', 'furie', 'intens', 'rea', 'angriness', 'rău', 'mânie', 'mad_season', 'furios', 'kay_starr'}
animal	{'regnul_animal', 'carnal', 'animalic', 'regnul_animalia', 'epifaunal', 'necuvântător', 'far_east_movement', 'reality_check', 'jivină', 'animal', 'epifauna', 'animați_fiind', 'trupesc', 'infauna', 'w.a.s.p.', 'creatură', 'a_plantelor', 'metazoans', 'faună', 'lasciv', 'lighioană', 'animale', 'fauna', 'animalia', 'animalele', 'macrofauna', 'regn_animalia'}
apartment	{'apartment', 'apartamente', 'complex_de_apartamente', 'bloc_de_apartamente', 'apartament', 'bloc_conac', 'clădiri_de_apartamente'}
applause	{'mână_aplauze', 'handclaps', 'aplauze', 'applause'}
argument	{'dispută', 'mărturie', 'argument', 'argumentul_verbul', 'controversat', 'polemică', 'argumentul_literar', 'linia_de_raționament', 'argumentul_unui_număr_complex', 'argument_logic', 'raționament', 'controversă', 'contraargumentare', 'parametru', 'argumentul_muzical', 'contestare', 'argumentare', 'probă', 'dovadă', 'tăgăduire', 'disceptation', 'argumentul', 'argumentând', 'discuție', 'dez\xadbatere', 'teoria_argumentării', 'dezbateri', 'discuta', 'rezumat', 'echipa_de_dezbateri', 'linia', 'logic_argument', 'controverse', 'argumente', 'dezbatere', 'declarația', 'argument_oblică', 'ceartă', 'discute', 'argumentație'}
argumentatively	{'argumentativ'}
art	{'artistice', 'art', 'agouti_legate_de_peptida', 'grafice', 'opera_de_arta', 'creației_artistice', 'artăfrumoasă', 'operelor_de_artă', 'grafică', 'articol_posesiv', 'materie_nontextual', 'artă', 'măiestrie', 'beaux_arts_arhitectura', 'beaux_arts', 'bellearte', 'artist_fin', 'arte_frumoase', 'iscusință', 'beaux-arts_arhitectura', 'lucrare_de_artă', 'articol', 'arta', 'myst', 'fine_art', 'operă_de_artă', "d'ni", 'talent', 'element_grafic', 'bravură', 'artistice_de_producție', 'arte_plastice'}
ashes	{'ashes', 'post_mortem'}
at	{'@', 'astatine', 'cutie_de_viteze_automată', 'transmisieautomată', 'at', 'schimbător_de_viteze', 'la', 'astatin', 'austria', 'a_rond', 'appalachian_trail', 'republica_austria', 'transmisie_automată', 'config.sys', 'oesterreich', 'automată_unitate', 'toyota_coaster', 'tirozinkinazei_bruton_lui', 'astatiniu', 'austriei', 'österreich', 'cutie_de_viteze', 'transmisii_automate', 'a-rond', 'cutia_de_viteză', 'coadă_de_maimuță', 'numărul_atomic_85'}
attitude	{'purtare', 'poziția', 'atitudinea', 'poziție', 'dispoziție', 'prezentație', 'unghiurile_lui_euler', 'orientare_spațială', 'unghiuri_euler', 'malpresentation', 'înclinație', 'postură', 'comportamentul_social', 'atitudinementală', 'comportament', 'atitudine', 'attitude', 'comportamentale', 'orientarea_spațială', 'tendință', 'tendința', 'conduită', 'mentale_atitudine', 'reload', 'dispoziţie', 'postura', 'orientare', 'abateri_disciplinare', 'ținută', 'poză', 'agresiv', 'orientarea', 'fapte', 'comportare'}
