ability	{'aptitude', 'schopnost', 'talent'}
accomplished	set()
all	{'obecný_kvantifikátor', 'akutní_lymfocytární_leukemie', '∀', 'univerzální_kvantifikace', 'velký_kvantifikátor', 'úplně', 'univerzální_uzavření', 'zcela', 'all', 'akutní_lymfoblastickou_leukémií', 'všichni', 'univerzální_kvantifikátor'}
and	{'logický_součet', 'ne', 'piercova_algebra', 'logické_a', 'nor', 'xnor', 'diskrétní_logiky', 'a', 'and', 'logický_člen', 'logický_součin', 'nand', 'a_zároveň', 'konjunkce', 'logický_prvek', 'schefferova_algebra', 'logické_hradlo', 'hradlo', 'logická_hradla', 'armed_and_dangerous', 'logické_členy', 'not', 'logický_obvod', 'invertor'}
angry	{'kay_starr', 'vztek', 'zlost', 'zlostný', 'rozhněvaný', 'rozzlobený', 'press_to_play', 'hněv', 'mad_season', 'angriness'}
animal	{'animalia', 'metazoans', 'w.a.s.p.', 'živočišná_říše', 'reality_check', 'far_east_movement', 'zvíře', 'typ_bytosti', 'infauna', 'zvířena', 'animovat_je', 'epifaunal', 'animal', 'epifauna', 'rostlinného', 'makrofaunu', 'stvoření', 'živočichové', 'metazoa', 'živočišstvo', 'život_zvířat', 'živočich', 'fauna', 'rozmnožování_zvířat'}
apartment	{'byt', 'bytových_domů', 'garsoniéra', 'apartment', 'garsonka', 'bytová_jednotka', 'kvartýr', 'apartmán'}
applause	{'potleskem', 'tleskání_ruky', 'aplaus', 'tleskání', 'potlesk', 'tleskat', 'applause'}
argument	{'debata', 'soutěžní_debata', 'debatní_společnost', 'kontroverze', 'spor', 'argument', 'spory', 'prohlášení', 'vstup_funkce', 'hádka', 'argument_metody', 'logický_argument,', 'vstup', 'argumenty', 'parametr_metody', 'argumentovat', 'linii', 'hudební_argument', 'argumentační_teorie', 'argumentace', 'vstup_metody', 'šikmé_argument', 'literární_argumentem', 'diskuse', 'vstupní_argument', 'vstupní_parametr', 'parametr_funkce', 'politické_debaty', 'parametr', 'logického_argumentu', 'kontroverzní', 'soutěžení', 'disceptation'}
argumentatively	set()
art	{'neurčitý_člen', 'umělecké_tvorby', 'statečnost', 'grafik', 'krásná_umění', 'kumšt', 'beaux-arts_stylu', 'výtvarné_umění', 'grafiky', 'art', 'umělecká_díla', 'grafické', 'člen', 'fine_art', 'umění', 'krásné_umění', "d'ni", 'beaux-arts_architektury', 'nontextual_záležitost', 'grafika', 'umělecké', 'článek', 'beaux_arts_architektury', 'grafička', 'výtvarník', 'beaux_arts', 'fine-art', 'uměleckého_vyjádření', 'určitý_člen', 'android_runtime', 'výtvarného_umění'}
ashes	{'post_mortem', 'ashes'}
at	{'@', 'rakousko', 'bruton_je_tyrosin_kinázy', 'laoský_kip', 'automobilní_automatická_převodovka', 'rakouská_druhá_republika', 'automatická_převodovka', 'appalachian_national_scenic_trail', 'republik_österreich', 'österreich', 'atomové_číslo_85', 'toyota_coaster', 'ostarrîchi', 'at', 'appalachian_trail', 'zavináč', 'appalačská_stezka', 'automatický_pohon', 'na', 'config.sys', 'astat', 'oesterreich', 'plánovač_úloh', 'rakouská_republika', 'salamander', 'automatickou_převodovkou'}
attitude	{'dispozice', 'nekontrolovatelný', 'způsoby', 'malpresentation', 'eulerův_úhel', 'sociálního_chování', 'poloha_těla', 'přístup', 'jednání', 'náklonnost', 'tendence', 'orientaci', 'sklon', 'doings', 'reload', 'prostorové_orientace', 'chování', 'postoj', 'sezení', 'držení_těla', 'nevychovanost', 'náchylnost', 'sociální_chování', 'attitude', 'postoji', 'mentální_postoj', 'eulerových_úhlů', 'baletní_terminologie_a_prvky', 'vystupování', 'eulerovy_úhly', 'poloha', 'orientace'}
back	{'zadní', 'fly-polovina', 'flyhalf', 'b.a.c.k.', 'zpět', 'záda', 'knižní_vazby', 'back', 'páteř', 'bek', 'zpátky', '백', 'hřbet', 'fotbalový_obránce', 'útočník', 'rub', 'na_centra', 'tighthead_prop', 'zadní_části', 'páteře', 'opěradlo', 'poranění_páteře', 'podporovat', 'obránkyně', 'knižní_vazba', 'mimo_centrum_města', 'couvat', 'columna_vertebralis', 'obránce', 'pravé_zadní', 'levého_obránce', 'obratlů'}
bad	{'barksdale_air_force_base', 'špatný', 'royce_da_5\'9"', 'zlo', 'letecká_základna_barksdale', 'zkažený', 'barksdaleova_letecká_základna', 'bcl-2-související_smrti_propagátora', 'špatnost', 'nežádoucí_statek', 'bad_world_tour', 'špatné', 'bad', 'big_audio_dynamite'}
bag	{'cestovní_taška', 'ukrást', 'krást', 'kabelky', 'kabelka', 'pytel', 'multiset', 'vemeno', 'vemene', 'plná_taška', 'muid', 'bag', 'multisets', 'kufřík', 'šálek_čaje', 'papírový_sáček', 'taška', 'kufr', 'multimnožina', 'tašku', 'stará_bába', 'tašce'}
ball	{'john_ball', 'ballock', 'tenisový_míček', 'varle', 'kouli', 'koncentrické_koule', 'bál', 'míček', 'teste', 'vajíčko', 'glob', 'strike', 'mušketa_koule', 'lucille_ballová', 'ball', 'koule', 'mičuda', '2-koule', 'zóny_stávky', 'testis', 'polokulovitý', 'sféra', 'testikulární', 'tenisový_míč', 'vejce', 'ples', 'strike_zone', 'tenisák', 'lucille_ball', 'kulka', 'povrch_koule', 'fotbal', 'testes', 'bordel', 'klubko', 'kulovité', 'slimáka', 'strajk', 'varlata', 'kulová_plocha', 'míč', 'sférická_plocha'}
bar	{'opatření', 'krčma', 'beta-2_receptor', 'pruh', 'rakousko-bavorština', 'patronym', 'pothouse', 'patronymické_příjmení', 'hospůdka', 'veřejné_domy', 'ginmill', 'auftakt', 'hostinec', 'barline', 'foobar', 'takt', 'mělčinu', 'příjmeními', '◌̷', '◌̵', 'taverna', '◌̸', 'tah', 'antivari', 'otčestvo', 'klepněte_na_dům', 'bar', 'advokátní_komora', 'patrynomic', 'prevence', 'pohostinství', 'prevenci', 'gin_mlýn', 'farnesoid_x_receptor', '◌̶', 'taphouse', 'beta-2_receptoru', 'příjmení', 'právní_profese', 'milibar', 'foo', 'prut', 'hejno', 'seznam_bázových_adres', 'vryp', 'přeškrtnutí', 'patronymum', 'country_inn', 'barroom', 'šikmá_čárka', 'hospoda', 'hospod', 'hospoda_znamení', 'hospodská_jídla', 'předtaktí', 'patronymics', 'očestvo', 'právnická_komunita', 'kohoutku_pivovaru', 'patronymická_příjmení', 'písčin', 'hudební_takt', 'mbar', 'šenkéř', 'boarisch', 'bavorština', 'millibars', 'tyč', 'advocatus', 'salónní_brankář', 'beta-2_adrenergních_receptorů', 'baru', 'browning_automatická_puška', 'otcovské_jméno', 'výčep', 'patronymic'}
bark	{'štěkot', 'iljušin_il-2', 'stromové_kůry', 'barque', 'kůry', 'kůra', 'štěkat', 'borka', 'šturmovik', 'štěkání', 'bark', 'periderm', 'il-2_šturmovik'}
bear	{'tolerovat', 'medvěd', 'bear', 'mít', 'porodit', 'šelmy_medvědovité', 'ursidae', 'vydržet', 'tu-95', 'snášet', 'komunitě_medvědí', 'rodit', 'obsahovat', 'webelos', 'tupolev_tu-95', 'platit', 'mike_brown', 'medvědovitého', 'medvědovití', 'vystát', 'medvědi'}
beat	{'kvantitativní_metr', 'těžká_doba', 'beat', 'težká_doba', 'hudební_rytmus', 'rytmus', 'puls', 'nepřízvučná_doba', 'obchůzka', 'bušit', 'rytmy', 'poetický_metr', 'metr', 'porazit', 'zázněj', 'lehká_doba', 'beatnik', 'off-beat', 'tep', 'kvantitativní_verš', 'doba', 'siteswap', 'prozódie', 'bít', 'přízvučná_doba'}
because	{'protože', 'kvůli', 'because'}
bed	{'jebat', 'dno_toku', 'bed', 'prcat', 'dno', 'koryta', 'posteli', 'říční_dno', 'ložisko', 'mrdat', 'postel', 'záchvatovité_přejídání', 'šev', 'řečiště', 'šoustat', 'koryto_říční', 'lůžko', 'souložit', 'záhon', 'šukat', 'koryto', 'sloj'}
beer	{'vynucení_zásad_na_aplikační_vrstvě', 'pivovarnictví', 'průmysl_pivovarský', 'ale', 'pivo', 'beer', 'piva'}
belly	{'podbřišek', 'břich', 'břicho', 'bachor', 'belly', 'břichy', 'břišní', 'lidského_břicha', 'břišní_svaly', 'břišní_dutina', 'břicha'}
big	{'stypsis', 'norm_nixon', 'big', 'suché', 'tělo', 'mineralitou', 'ovoce', 'bjarke_ingels_group', 'dospělý', 'velký'}
