all	все	Match	['для_всех', 'квантор_общности', 'целико́м', 'совсем', 'единое', 'все', 'совсе́м', 'всеце́ло', 'весь', 'вполне́', 'совершенно', 'квантора', 'квантор_всеобщности', 'целый', 'полностью', 'универсальное_замыкание', '∀', 'all', 'всех', 'всеобщности_квантор', 'острый_лимфобластный_лейкоз', 'острого_лимфобластного_лейкоза', 'по́лностью', 'острые_лимфобластные_лейкозы', 'всем', 'соверше́нно', 'олл']
and	и	Match	['конъюнкция', 'логическое_и', 'логическое_умножение', 'о_сэхун', 'о_сэ_хун', 'and', 'конъюктор', 'о_се_хун', 'armed_and_dangerous', 'логический_вентиль', 'armed__dangerous', 'коньюнкция', 'конъюнктор', 'и', 'сехун', 'дискретной_логики']
animal	животных	Match	['животных', 'существо_типа', 'одушевленное_существо', 'джозеф_майкл_«джо»_лауринайтис', 'animal', 'фа́уна', 'животные', 'фауны', 'wasp', 'жизнь_животных', 'чудовище', 'animalia', 'макрофауны', 'джозеф_майкл_лауринайтис', 'epifaunal', 'классификация_животных', 'лауринайтис_джозеф_майкл', 'растений', 'животный_мир', 'инфауны', 'живность', 'живо́тный_мир', 'эпифауны', 'фауна', 'царство_животных', 'road_warrior_animal', 'герпетофауна', 'энтомофауна', 'far_east_movement', 'metazoa', 'животные_организмы', 'существо', 'морская_фауна', 'животное', 'дорожный_воин_зверь', 'репродукция_животных', 'reality_check']
ashes	прах	Match	['прах', 'post_mortem', 'эшес', 'пепел', 'ashes']
at	на	Not found	[]
back	обратно	Match	['правого_защитника', 'защитник', 'обло́жка', 'позвоно́чник', 'в_центре', 'правый_защитник', 'back', 'tighthead_опору', 'переплёт', '백', 'футбольный_защитник', 'левый_защитник', 'левого_защитника', 'оборот', 'зад', 'вспять', 'sissy_bar', 'позиция_в_регби15', 'хребе́т', 'спина', 'свободный_защитник', 'flyhalf', 'вингбек', 'за́дний', 'спинно́й_хребе́т', 'позвоночный_столб', 'чистильщик', 'левый_вингбэк', 'центрального_защитника', 'е́здитье́хать_наза́д', 'обратно', 'спинка', 'правый_вингбэк', 'хребет', 'одобрить', 'ствол', 'защи́тник', 'за_пределами_центра', 'позвонков', 'назад', 'центральный_защитник', 'свипер', 'лету_половина', 'позвоночника', 'бэк', 'крайний_защитник', 'наза́д', 'подде́рживать', 'обра́тно', 'книг', 'опорный_защитник', 'за́дняя_часть', 'либеро', 'позвоночник', 'позвоно́чный_столб', 'латераль', 'бай', 'позиция_в_регбиюнион', 'книжный_переплет']
bad	плохой	Match	['bad_tour', 'bcl2связанного_смерти_промоутер', 'испо́рченный', 'плохой', 'плохая', 'big_audio_dynamite', 'bad_world_тур', 'злодейство', 'royce_da_59', 'нехороший', 'плохо', 'монтгомери_райан', 'него́дность', 'скверный', 'зло', 'bad', 'bad_world_tour', 'райан_монтгомери']
bark	древесина	Found close match: ['древесная_кора']	['первичная_кора', 'кора́', 'древесная_кора', 'ла́ять', 'bark', 'лай', 'ил2', 'барк', 'па́русник', 'цкб57', 'кора', 'га́вкать', 'бш2', 'цкб55', 'перидермы', 'ил_2']
because	потому	Not found	[]
belly	брюхо	Match	['брю́хо', 'брюхо', 'полость_живота', 'абдомен', 'человеческого_живота', 'belly', 'брюшко', 'живот', 'брюшного_пресса', 'чре́во', 'пузо', 'живо́т', 'чрево', 'животы', 'пу́зо']
big	большой	Match	['bjarke_ingels_group', 'баланс', 'вяжущее_действие', 'большой', 'фрукты', 'никсон_норм', 'минеральность', 'big', 'норман_эллард_никсон', 'большая', 'биг', 'норм_никсон', 'тела', 'большие', 'norm_nixon', 'взро́слый']
bird	птица	Match	['yardbird_паркер', 'паркер_младший_чарльз_кристофер', 'птицы_паркера', 'красо́тка', 'домашняя_птица', 'фак', 'паркер_ч', 'тёлочка', 'потка', 'ми́лый', 'mikuni_shimokawa', 'charles_«bird»_parker', 'симокава_микуни', 'ночевок', 'де́вка', 'птица', 'петух', 'орнитофауны', 'aves', 'волан', 'avafauna', 'чарльз_паркер', 'паркер_чарльз', 'девка', 'берд', 'средний_палец', 'деви́ца', 'палец', 'микуни_симокава', 'птиц', 'charlie_parker', 'чарльз_кристофер_паркер_младший', 'avialae', 'птицы_в_геральдике', 'bird', 'шиканье', 'чарли_паркер', 'вола́н', 'год_петуха', 'птичка', 'чарльз_кристофер_паркер', 'цыпочка', 'мила́шка', 'паркер_чарли', 'птицы', 'razzing', 'де́вушка', 'бёрд', 'ми́лая', 'малина', 'жест_эффенберга', 'ю́бка', 'вола́нчик', 'воланчик', 'bronx_настроение']
bite	укусить	Match	['уку́с', 'биспецифических_тклеток_engager', 'ужаленье', 'заку́ска', 'выделенный_объем', 'закуска', 'стивен_алан_хассен', 'остроты', 'переку́с', 'жаленье', 'укус_насекомого', 'хассен', 'откуси́ть', 'шкала_сковилла', 'острый', 'хассен_стивен', 'лёгкая_заку́ска', 'хассен_стивен_алан', 'уку́с_насеко́мого', 'отку́сывать', 'пряный', 'грызть', 'ужаления_и_укусы_насекомых', 'укусы', 'steven_hassan', 'жаление', 'укусить', 'жгучий_вкус', 'steven_alan_hassan', 'укус', 'ужаление', 'жгучий', 'стивен_хассен']
black	чёрные	Match	['центральноафриканская_раса', 'вороно́й', 'чернокожий', 'блэк', 'черне́ть', 'тайо_круз', 'последняя_надежда', 'тьма', 'негритянский', 'мироходца', 'черные_люди', 'негроидный', 'спектр_видимого_света', 'lightlessness', 'final_fight', 'taio_cruz', 'ахроматический_цвет', 'ара́п', 'цветность', 'inkiness', 'блек', 'чёрная_раса', 'цвета', 'негроид', 'черные_женщины', 'чёрный', 'оттенки', 'nigga', 'почерне́ть', 'sensation', 'ниггер', 'цвет', 'негритянка', 'чернокожие_люди', 'ширли_темпл_блэк', 'ара́пка', 'кромешной_тьме', 'посты́дный', 'негроидов', 'черный_человек', 'негроиды', 'бессла́вный', 'беспросве́тный', 'черная_женщина', 'mtg', 'оттенок', 'magic_the_gathering', 'чернокожие', 'magic', 'латиноамериканцем', 'final_fight_3', 'арап', 'негр', 'magic_the_gathering_online', 'других_рас', 'mana_clash', 'shirley_temple', 'черного_сообщества', 'негры', 'позо́рный', 'блэк_джозеф', 'расовый_состав_сша', 'темпл_ширли', 'колин_вирнкоумб', 'чёрный_мужчина', 'цветов', 'чёрный_цвет', 'ширли_темпл', 'нигга', 'kari_kimmel', 'чернота́', 'чёрные_люди', 'негроидная_раса', 'черный', 'белых', 'чёрный_как_смоль', 'joseph_black', 'африканского_происхождения', 'блак_джозеф', 'темнокожий', 'nigger', 'black', 'чернокожая', 'чёрная_женщина', 'негроидной', 'мтг', 'ко́лер', 'круз_тайо', 'джозеф_блэк', 'черный_цвет', 'полной_темноте', 'негров', 'джозеф_блак', 'непрогля́дный', 'негритя́нка', 'черный_африканский', 'магия', 'чёрные', 'чёрное']
blood	кровь	Match	['гематологические', 'blood_franz_ferdinand', 'развратник', 'blood', 'форменные_элементы', 'rhye', 'наследственности', 'кровавые_сцены', 'форменный_элемент', 'бордо', 'бордо_гран_крю', 'кайна', 'линии_крови', 'генетической_наследственности', 'кровь', 'форменный_элемент_крови', 'vs', 'насле́дственная_ли́ния', 'форменные_элементы_крови', 'вина_бордо', 'persistence_of_time', 'употребление_крови_в_пищу', 'pearl_jam__vs', 'родословной', 'collective_soul', 'крови', 'the_black_parade', 'биологического_наследования', 'кислородом_кровь', 'распутник', 'крови_человека', 'наследственность', 'getting_away_with_murder', 'ли́ния', 'коллективная_душа']
blow	удар	Match	['порыв', 'пове́ять', 'плыть', 'нос_конфеты', 'кокаин', 'кока', 'csi_место_преступления_сезон_11', 'сморкну́ться', 'поры́в', 'ве́ять', 'выдува́ть', 'дуть', 'пари́ть', 'ду́нуть', 'удар', 'сморка́ться', 'кокс', 'дрейфова́ть', 'ко́ка', 'неудача', 'сдуть', 'кокос', 'блоу', 'поду́ть', 'поры́в_ве́тра', 'сдува́ть', 'снег', 'запоро́ть', 'место_преступления_сезон_11', 'blow', 'вы́дуть']
bone	кости	Match	['музыка_на_рёбрах', 'кости', 'оттенок_белого_цвета', 'зубри́ть', 'bone', 'def_jam_recordings', 'костной_ткани', 'костной', 'def_jam', 'костная_ткань', 'кость', 'цвет_слоновой_кости', 'боун', 'мозг_костный', 'слоновая_кость', 'не_совсем_белый']
