ability	schopnosť	Match	['šikovnosť', 'talent', 'inteligencia', 'nadanie', 'schopnosť', 'schopnosti', 'aptitude']
accomplished	zdokonaliť	Incorrect	['dosiahnuté', 'ukončený', 'hotový', 'splnená', 'zrealizovaný', 'kvalifikovaný', 'splnený']
angry	nahnevaný	Match	['zlostný', 'búrlivý', 'mad_season', 'rozhnevaný', 'hnev', 'nahnevaný', 'nahnevaná', 'angriness', 'kay_starr', 'divoký', 'naštvaný', 'divý', 'rozbúrený', 'press_to_play', 'hnevať', 'nahnevaní']
apartment	apartmáne	Found close match: ['apartmán', 'apartment']	['byte', 'apartmán', 'bytom', 'byt', 'apartment', 'bytu', 'bytových_domov', 'bytová_jednotka']
applause	obdivujem	Incorrect	['potleskom', 'potlesk', 'tlieskanie', 'pochvala', 'aplauz', 'tlieskanie_ruky', 'applause', 'tlieskať']
argument	argumenty	Match	['sporná_otázka', 'literárne_argumentom', 'disceptation', 'odôvodnenie', 'logický_argument', 'diskusia', 'argumentácia', 'debata', 'súťaženie', 'vyhlásenie', 'dohadovanie_sa', 'kontroverzie', 'spory', 'spor', 'kontroverzia', 'polemika', 'diskutovať_o', 'debatné_spoločnosť', 'argument', 'parameter', 'argumentovať', 'argumenty', 'šikmé_argument', 'argumentačný_teórie', 'hudobné_argument']
art	výtvarné	Found close match: ['výtvarník', 'výtvarné_umenie', 'výtvarného_umenia']	['grafiky', 'zručnosť', 'statočnosť', 'zdatnosť', 'fine_art', 'krásne_umenia', 'beauxarts_architektúry', 'umelecké_majtrovstvo', 'nontextual_záležitosť', 'umelecké', 'umeleckého_vyjadrenia', 'výtvarník', 'art', 'umeleckej_tvorby', 'grafika', 'grafické_umenie', 'člen', 'článok', 'fineart', 'umelecká_tvorba', 'beaux_arts', 'výtvarné_umenie', 'výtvarného_umenia', 'beauxarts_štýle', 'umelecké_diela', 'grafické', 'android_runtime', 'dňu', 'vizuálna_zložka', 'beaux_arts_architektúry', 'vizuálne_umenia', 'umenie']
attitude	zhovievavosť	Incorrect	['inklinácia', 'attitude', 'doings', 'malpresentation', 'poloha', 'atitúda', 'orientácia', 'konanie', 'dispozície', 'eulerových_uhlov', 'postavenie', 'pozícia', 'nevychovaností', 'nekontrolovateľný', 'zmýšľanie', 'reload', 'dispozícia', 'tendencia', 'postoji', 'stanovisko', 'držanie_tela', 'správanie', 'sociálne_správanie', 'priestorovej_orientácie', 'chovanie', 'spôsoby', 'mentálny_postoj', 'sociálneho_správania', 'postoj', 'vystupovanie']
bag	vrecúška	Found close match: ['vrecko', 'vrece']	['pobrať', 'bag', 'multiset', 'taške', 'taška', 'kufrík', 'multisets', 'kabelka', 'kabelky', 'papierový_sáčok', 'tašku', 'kabela', 'kradnúť', 'kufor', 'štetka', 'ukradnúť', 'šálka_čaju', 'vak', 'vrece', 'vemeno', 'cestovná_taška', 'vrecko', 'vemena', 'príručná_taška', 'plná_taška', 'stará_baba', 'kurva']
ball	súperove	Incorrect	['semenníkov', 'loptu', 'glob', 'hranica_gule', 'ples', 'testikulárne', 'tenisové_loptičky', 'slimáka', 'projektil', 'sféra', 'testes', 'mušketa_gule', 'hruda', 'futbal', 'guľovité', 'semenník', 'lopty', 'strike_zone', 'tenisová_loptička', 'bordel', 'semenníky', 'gule', 'ballock', 'diane_belmont', 'hrča', 'bál', 'tenisové_lopty', 'testis', 'lucille_ballová', 'zóny_štrajku', 'vnútro_gule', 'muškety_loptu', 'tenisová_lopta', 'guľka', 'teste', 'guľu', 'uzavretá_guľa', 'zhluk', 'otvorená_guľa', 'tenisový_loptičku', '2gule', 'pologuľovitý', 'gúľať', 'ball', 'stred_gule', 'náboj', 'lucille_ball', 'loptička', 'lopta', 'john_ball', 'guľa']
bar	bar	Match	['tyč', 'priezvisko', 'farnesoid_x_receptor', 'barline', 'kliknite_na_dom', 'mariť', 'právnické_povolanie', 'foo', 'bar', 'profylaxia', 'opatrenia', 'prekážka', 'krčiem', 'bary', 'barový_pult', 'krčma', 'zatarasiť', 'plytčinu', 'zabarikádovať', 'millibars', 'country_inn', 'zamedzenie', 'vryp_minerálu', 'pothouse', 'beta2_receptorov', 'zabránenie', 'prekážať', 'hatiť', 'blokovať', 'mbar', 'brániť', 'tabuľka', 'závora', 'priezviskami', 'bár', 'zábrana', 'právne_profesie', 'baru', 'prevenciu', 'právnická_komunita', 'krčmárka_jedla', 'výčap', 'foobar', 'taverna', 'advocatus', 'beta2_adrenergných_receptorov', 'verejné_domy', 'zablokovať', 'salónnej_brankár', 'vryp_nerastu', 'taphouse', 'piesčin', 'pub', 'kŕdeľ', 'bavorčina', 'browning_automatická_puška', 'bare', 'patrynomic', 'gin_mlyn', 'ginmill', 'hostinec', 'kocka', 'barroom', 'patronymic', 'vryp', 'takt', 'patronymics', 'ochrana', 'patronym', 'pruh', 'predchádzanie', 'zabrániť', 'prevencia']
bear	medveďa	Found close match: ['medveď', 'medvedí', 'medvede']	['porodiť', 'pojímať', 'znášať', 'pretrpieť', 'zachovať_sa', 'zvládnuť', 'bear', 'medveď', 'webelos', 'rodiť', 'macko', 'ursida', 'obsahovať', 'pojať', 'ursidae', 'počať_si', 'chovať_sa', 'zakúšať', 'trpieť', 'vynášať', 'strpieť', 'niesť_mať_niečiu_podobu', 'nosiť_sa', 'tolerovať', 'niesť_sa', 'vystáť', 'vytrvať', 'mike_brown', 'medvědovitého', 'zniesť', 'podobať_sa', 'mať', 'zvládať', 'počínať_si', 'správať_sa', 'medvedí', 'niesť', 'nosiť', 'tupolev_tu95', 'dať_zisk', 'medveďovité', 'vyniesť', 'medvede', 'zaplatiť', 'držať', 'platiť', 'dávať_zisk', 'vytrvávať', 'zakúsiť', 'medvedík', 'tu95']
beat	„finále	Incorrect	['poetický_meter', 'prekonávať', 'priviesť_do_rozpakov', 'otravovať', 'rytmus', 'beatnik', 'prekonať', 'kvantitatívne_meter', 'metrum', 'popliesť', 'vyvádzať_z_konceptu', 'miasť', 'ohromiť', 'ohromovať', 'búchať', 'premôcť', 'zmiasť', 'premáhať', 'zvíťaziť', 'trápiť', 'poraziť', 'sužovať', 'rytmy', 'doba', 'zarážať', 'uvádzať_do_rozpakov', 'hudobný_rytmus', 'privádzať_do_rozpakov', 'víťaziť', 'siteswap', 'porážať', 'pliesť', 'vyčerpávať', 'meter', 'offbeat', 'zdolať', 'zaraziť', 'unavovať', 'udierať', 'hnevať_sa', 'vyviesť_z_konceptu', 'znepokojiť', 'trýzniť', 'súžiť', 'týrať', 'zdolávať', 'pulz', 'mlátiť', 'zbiť', 'uviesť_do_rozpakov', 'biť', 'zmlátiť', 'znepokojovať', 'beat']
bed	umývadlo	Incorrect	['trtkať', 'ísť_do_postele', 'spodok', 'šukať', 'ísť_spať', 'dno', 'bed', 'postel', 'pichať', 'posteľ', 'postele', 'koryto_rieky', 'posteli', 'lôžko', 'drbať', 'koryto', 'šev', 'hrada', 'podložie', 'vrstva', 'mrdať', 'hriadka', 'koryta', 'záhon', 'jebať']
beer	piva	Match	['pivovarníctvo', 'ale', 'beer', 'operácia_ale', 'piva', 'pivo', 'pivko']
