all	tutti	Match	['chiusura_universale', 'totalmente', 'ogni', 'aeroporto_internazionale_“clemente_panero', 'proverbi_spagnoli', 'per_ogni', 'leucemia_linfatica_acuta', 'tutto', 'aeroporto_di_albenga', 'completamente', 'compiutamente', 'tutti', 'hints_allegations_and_things_left_unsaid', 'aeroporto_clemente_panero_di_villanova_dalbenga', 'quantificazione_universale', 'interamente', '∀', 'quantificatore_universale', 'tutta', 'all', 'radicalmente', 'tutte', 'leucemia_linfocitica_acuta', 'leucemia_linfoblastica_acuta', 'aeroporto_internazionale_di_villanova_dalbenga_clemente_panero', 'del_tutto', 'leucemia_acuta_linfoblastica', 'pienamente']
and	e	Match	['oh_sehun', 'congiunzione_logica', 'and', 'porta_logica', 'armed_and_dangerous', 'porte_logiche', 'circuito_logico', 'logica_discreta', '⋀', 'e', 'congiunzione', 'not']
animal	animali	Match	['macrofauna', 'fauna', 'lascivo', 'joe_laurinaitis', 'joseph_laurinaitis', 'vegetale', 'animal', 'animare_essere', 'metazoi', 'fareast_movement', 'epifauna', 'animali', 'wasp', 'mondo_animale', 'animalia', 'bestiola', 'joseph_michael_laurinaitis', 'regno_animale', 'epifaunal', 'kiss_n_tell', 'metazoo', 'vita_animale', 'bestia', 'animale', 'animal__an_international_journal_of_animal_bioscience', 'carnale', 'road_warrior_animal', 'metazoa', 'far_east_movement', 'riproduzione_animale', 'sensuale', 'animal__il_segreto_della_foresta', 'fauna_selvatica', 'dei_sensi', 'endofauna', 'creatura', 'reality_check']
ashes	ceneri	Match	['ceneri', 'ashes_series', 'cenere', 'the_perfect_element_part_one', 'post_mortem', 'the_ashes', 'ashes']
at	dove	Not found	[]
back	indietro	Match	['schiena', 'volmetà', 'difensore_centrale', 'retrocedere', 'rachide_cervicale', 'rilegatura', 'centro_esterno', 'spalleggiare', 'laterale', 'stopper', 'terzino_destro', 'vertebre', 'rachide_sacrale', 'indietro', 'terzino', 'di_dietro', 'back', '백', 'appoggiare', 'posizioni_nel_rugby_a_15', 'vertebrale', 'spalla', 'difensore', 'mediano', 'terzino_sinistro', 'avallare', 'rilegatura_di_libri', 'flyhalf', 'rovescio', 'caldeggiare', 'prop_tighthead', 'dorso', 'andare_a_marcia_indietro', 'dietro', 'indietreggiare', 'fare_marcia_indietro', 'cratere_back', 'spina_dorsale', 'a_posto', 'mezzo_centro', 'schienale', 'posteriore', 'rachide', 'estremo', 'fondo', 'terzini', 'extraspinale', 'didietro', 'tergo', 'interno_del_centro', 'retro', 'groppone', 'rachide_lombare', 'lato_posteriore', 'sostenere', 'ritorno', 'terzino_fluidificante', 'fiancheggiare', 'colonna_vertebrale', 'spalliera', 'copertina', 'groppa', 'libero', 'favorire']
bad	brutto	Match	['malvagio', 'dispiaciuto', 'seccato', 'bcl2associata_promotore_morte', 'barksdale_air_force_base', 'perfidia', 'malo', 'immorale', 'contrariato', 'radikal_böse', 'rischioso', 'maligno', 'malvagità', 'marcio', 'royce_da_59', 'rammaricato', 'brutto', 'big_audio_dynamite_ii', 'cattivi', 'bad', 'difettoso', 'spiacente', 'impotente', 'avariato', 'inefficiente', 'barksdale_afb', 'guasto', 'cattiva', 'pessimo', 'manchevole', 'cattiveria', 'male', 'bad_world_tour', 'rattristato', 'male_radicale', 'big_audio_dynamite', 'cattivo', 'infastidito', 'guastato', 'irritato', 'andato_a_male']
bark	muschio	Incorrect	['ritidoma', 'latrare', 'corteccia', 'sturmovik', 'ilyushin_il2_shturmovik', 'il2', 'brigantino_a_palo', 'barca', 'ilyushin_il2_sturmovik', 'il2_shturmovik', 'latrato', 'abbaia', 'bark', 'abbaio', 'periderm', 'abbaiamento', 'scorza', 'periderma', 'ilyushin_il2', 'buccia', 'ilyushin_il2_šturmovik', 'abbaiare']
because	perché	Match	['perché', 'because', 'perchè']
belly	ventre	Match	['trippa', 'addome', 'addomi', 'cavità_addominale', 'ventre', 'addome_umano', 'parete_addominale', 'muscoli_addominali', 'belly', 'addominali', 'pancia', 'gozzo']
