ability	{'pouvoir', 'adresse', 'faculté', 'intelligence', 'habileté', 'capacité', 'aptitude', 'habilité'}
accomplished	{'versé', 'versée', 'accompli', 'compétent', 'habile', 'adroit'}
all	{'en_même_temps', 'quantification_universelle', 'aéroport_riviera_airport', "aéroport_d'albenga", 'aéroport_international_de_villanova_d’albenga', 'leucémie_lymphoblastique_aiguë', 'entièrement', 'riviera_airport', 'pleinement', 'la_leucémie_lymphoblastique_aiguë', 'quantificateur_universel', 'bcr', 'universelle_quantificateur', 'totalement', 'toute', 'bien', 'aéroport_riviera', 'tout', 'fermeture_universelle', 'tous', 'complètement', 'directement', 'parfaitement', "aérodrome_clemente_panero_de_villanova_d'albenga", 'hints_allegations_and_things_left_unsaid', "aeroport_international_de_villanova_d'albenga", 'all', 'leucémie_aiguë_lymphoblastique', "aéroport_international_de_villanova_d'albenga", 'tout_à_fait', 'toutes', 'intégralement', 'sun_products'}
and	{'circuit_logique', 'et_logique', '⋀', 'fonction_logique', 'and', 'logique_discrète', 'and_logique', 'porte', 'oh_se-hun', 'sehun', '∧', 'fonctions_logiques', 'conjonction', 'non-et', 'porte_logique', 'logique_combinatoire', 'oh_sehun', 'portes_logiques', 'conjonction_logique', 'not', 'armed_and_dangerous'}
angry	{'hors_de_soi', 'colère', 'irrité', 'angriness', 'furieux', 'angry', 'sauvage', 'excédé', 'en_colère', 'furibond', 'kay_starr', 'tempétueux', 'mad_season', 'énervé', 'ab_irato', 'ire_de_dieu', 'press_to_play', 'courroucé', 'fâchée', 'fâché'}
animal	{'animal', 'végétale', 'épifaune', 'animalia', 'organisme_animal', 'animalité', 'être', 'joseph_laurinaitis', 'faunistique', 'être_animé', 'brute', 'macrofaune', 'reality_check', 'animal_science', 'bêtes', 'reproduction_animale', 'w.a.s.p.', 'animaux_pluricellulaires', 'créature', 'kiss_n_tell', 'far_east_movement', 'wasp', 'animaux', 'zoobionte', 'faune', 'reproduction_des_animaux', 'bête', 'vie_animale', 'faune_mammalienne', 'joe_laurinaitis', 'road_warrior_animal', 'animal_:_an_international_journal_of_animal_bioscience.', 'métazoaires', 'règne_animal', 'sensuel', 'herpétofaune', 'endofaune', "l'animal", 'dinosaur', "kiss_'n'_tell"}
apartment	{'immeubles', 'appartement', 'appartements_jardin', 'chambre', "complexe_d'appartements", "bloc_d'appartements", 'apartment', 'appartements', 'bloc_manoir', "l'appartement", 'studio'}
applause	{'acclamer', 'applause', 'claquements_de_mains', 'claquement', 'applaudissements', 'battements_de_mains', 'applaudissement', 'applause_inc.', 'claquade', 'acclamation'}
argument	{'debat', 'ligne_de_raisonnement', 'querelle', 'argument_d’un_nombre_complexe', 'discussion', 'argument_oblique', 'actant', 'actance', 'discuter', 'argument_verbe', 'argument', 'argumentation', 'débat', 'controversée', 'débats', 'différend', 'argument_littéraire', 'capacité_à_argumenter', 'ligne', 'arguments', "argument_d'un_nombre_complexe", 'paramètre', 'contestation', 'controverse', 'argumenter', 'équipe_de_débat', "théorie_de_l'argumentation", 'déclaration', 'débat_politique', 'controverses', 'polémique', 'disceptation', 'en_faisant_valoir', 'argument_logique', 'discuté', 'argument_musical', 'raisonnement', 'actanciel'}
argumentatively	set()
art	{'objet', 'expression_plastique', 'question_non_textuel', "guildes_d'ni", 'agouti-related_peptide', 'graphiques', "the_v.i.p.'s", 'art', 'membre', 'expression_artistique', 'iconographie', 'saison_1_de_new_york,_section_criminelle', 'talent_artistique', "numération_d'ni", "l'art", 'graphisme', 'style_beaux-arts', 'article', 'article_indefini', "ages_d'ni", 'agrp', 'artn', 'production_artistique', '«_art_»', 'beaux-arts', 'aéroport_de_watertown', 'illustration', 'abattage', 'ni', 'beaux_arts', 'architecture_beaux-arts', 'œuvre', 'courants_artistiques', 'dilbert', "d'ni", 'prouesse', 'arab_radio_and_television', 'maquette', 'terahnee', 'création_artistique', "définition_de_l'art", 'mattias_pilhede', "numeration_d'ni", 'oeuvre', 'univers_de_myst', 'artistique', "objets_d'ni", 'la_création_artistique', 'graphique', 'exploit', 'statut', 'arab_radio_and_television_network', "âges_d'ni", 'android_runtime', 'courage'}
ashes	{'the_perfect_element,_part_i', 'les_ashes', 'the_ashes', 'post_mortem', 'ashes'}
at	{'numéro_atomique_85', 'oesterreich', 'boîte_de_vitesses_automatique', 'hard', 'boite_de_vitesses_automatique', 'arobase', 'sur', 'cotal', 'archive_team', 'arrobas', 'en', 'republik_österreich', 'btk', 'transmissions_automatiques', 'sentier_des_appalaches', 'arobasque', 'à', 'transmission_automatique', '₭', 'arobas', 'gatm', 'envers', 'config.sys', 'entraînement_automatique', 'planificateur_de_tâches', 'к', 'arobaz', '＠', 'kip_laotien', 'at', "république_d'autriche", 'tyrosine_kinase_bruton', 'arrobe', 'autrichienne', 'a_commercial', 'pour', 'astate', 'fucking', 'autriche', 'autrichien', 'toyota_coaster', 'kip', 'arobe', 'arrobase', '﹫'}
attitude	{'pente', 'brisé', 'comportementales', 'pas_de_bourrée', 'penchant', 'grand_jeté', 'attitude_mentale', "orientation_dans_l'espace", 'présentation_foetale', 'prédisposition', 'presentation_foetale', 'angle_de_nutation', 'angle_de_précession', 'porté_poisson', 'posture', 'enveloppé', 'écart', 'vocabulaire_de_la_danse_classique', "comportement_de_l'homme", 'agissement', 'conduite', "angle_d'euler", 'angle_de_rotation_propre', 'propension', 'reload', 'attitude_/_golden_gun', 'pas_chassé', 'jambe_de_terre', 'attitude', 'inclination', 'grande_écart', "angles_d'euler", 'pas_de_danse', 'présentation', 'mauvaise_conduite', 'presentation_fœtale', 'maintien', 'orientation_spatiale', 'rond_de_jambe', 'présentation_fœtale', 'position', 'fouetté', 'comportement', 'angles_d’euler', 'saut_de_chat', 'terminologie_de_la_danse_classique', 'pas_de_danse_classique', 'disposition', 'tour_piqué', 'angle_de_rotation', 'petite_cabriole', 'comportement_social', "espace_d'euler", 'comportement_humain', 'rotation_propre', "état_d'esprit", 'actes', 'orientation', 'jeté_simple', 'tendance', 'comportements'}
back	{'sens_devant_derrière', 'ramener', 'maintenir', 'rentrer', 'dorsal', "composition_d'une_equipe_de_rugby_a_xv", 'canal_rachidien', 'dorsaux', 'vertèbres', 'rachis', 'retour', 'échine', '백', 'revêtir', 'faire_marche_arrière', 'rétrograder', 'appuyer', 'retourner', 'tapisser', 'derrière', 'reliure', 'intérieur_du_centre', 'champ_arrière', 'approuver', 'fond', 'vertébrale', 'épine_dorsale', 'arrière', 'prop_tighthead', 'seconde', 'df', 'défenseur', 'arrière_droit', 'arrière_latéral', 'biche', 'appui', 'reprendre', 'colonne_dorsale', 'région_dorsale', 'colonne_vertébrale', 'accoter', 'defenseur', 'soutenir', 'de_retour', 'baek', 'dos', 'défenseur_central', 'dater', 'ouvreur', 'arrière_gauche', 'reculer', 'dossier', 'latéral_droit', 'remonter', "composition_d'une_équipe_de_rugby_à_xv", 'cinq_premiers-huitième', 'colonne_vertebrale', 'faire_reculer', 'remettre', 'entraver', 'position_du_rugby_à_xv', 'b.a.c.k.', 'couverture', 'protéger', "demi_d'ouverture", 'back', 'détourner', 'revers', 'retrouver', 'aider', 'demi-centre', 'position_au_rugby_à_xv', 'jeu', 'plate', 'composition_d’une_équipe_de_rugby_à_xv'}
bad	{'défectueux', 'base_aérienne_de_barksdale', 'malveillance', 'difficile', 'risqué', 'barksdale', 'gâté', 'abîmé', 'faisandé', 'putréfait', 'b.a.d', 'bad', 'spéculatif', 'big_audio_dynamite', 'barksdale_afb', 'décomposé', 'gâté_pourri', 'méchanceté', 'royce_da_59', 'pourri', 'avarié', 'promoteur_mort_bcl-2-connexe', 'mauvais', 'mal', 'problème_du_mal', 'royce_da_5\'9"', 'défectif', 'immoral', 'bad_world_tour', 'putréfié', 'cattiva', 'barksdale_air_force_base'}
bag	{'sac_de_papier', 'sac_en_plastique', 'malle', 'poignée', 'truc', 'bagages', 'valise', 'multi_ensemble', 'sachet', 'sac_à_main', 'sacoche', 'valoche', 'sac', 'voler', 'sac_en_papier', 'multi-ensembles', 'bomber', 'sac_de_caisse', 'vieux_sac', 'mamelle', 'porte-monnaie', 'tasse_de_thé', 'empocher', 'sac_de_voyage', 'cageot', 'pis', 'thon', 'sac_de_transport', 'sac_plastique', 'bagage', 'sac_a_main', 'mamelles', 'mammaire', 'poche', 'guenon', 'sac_plein', 'sacs_à_main', 'bag', 'multi-ensemble', 'base', 'multiensemble', 'sacs_en_plastique'}
